codprod,descricao,categoria,descricao_manual,updated_at
19007,COMPUTADOR I5-5300U 8GBDR3256GB D-PC5501,,,
17993,COMPUTADOR I5-7300HQ  32GB SSD 1TB,,,
18650,COMPUTADOR I5-8600 DRR4 8GB SSD 240GB,,,
18773,COMPUTADOR I7-3770 DRR3 8GB SSD 240GB,,,
18895,COMPUTADOR R5 5500 DRR4 16GB SSD 512GB,,,
12220,CONECTOR DO USB 2.0 DO CUBO DE USB DE 9,,,
11156,CONECTOR MACHO PLUG RJ45 CAT5E EZ CRIMP,,,
11161,CONECTOR MACHO PLUG RJ45 CAT6 BLINDADO E,,,
11158,CONECTOR MACHO PLUG RJ45 CAT6 DE PASSAGE,,,
11160,CONECTOR MACHO PLUG RJ45 CAT6 DE PASSAGE,,,
17747,CONECTOR P2 LE-0154,,,
8303,CONECTOR P4 MACHO12V DC LT-5521 LOTUS -,,,
9757,CONECTOR PARA CABO DC FEMEA LE5504 -SN,,,
16950,CONECTOR RJ45 CAT5E BLINDADO PACK 10UN,,,
4962,CONECTOR RJ45 CAT5E COM 100 UNID CONT-RJ,,,
16948,CONECTOR RJ45 CAT5E PACK 10UN MEGATRON,,,
10339,CONECTOR RJ45 CAT6 COM 100 UNID. DEX -SN,,,
16952,CONECTOR RJ45 CAT6 PACK 10UN MEGATRON,,,
16953,CONECTOR RJ45 CAT6 POTE 100UN MEGATRON,,,
16736,CONJ CHAVES SOQUETES BOM-3912,,,
14155,CONJUNTO 25 PONTAS ESPECIAIS BOM-3107,,,
14477,CONJUNTO CHAVE TORK 36 PCS BOM-3109,,,
16936,CONJUNTO DE CHAVES SOQUETES BOM-3911,,,
17601,CONTROLE DE JOGOS COM FIO KP-GM037,,,
17602,CONTROLE DE JOGOS USBXPC S/FIO KP-GM018,,,
13834,CONTROLE DE PC E XBOX360 KP-GM033,,,
13693,CONTROLE JOYSTICK XBOX PC PG-9021S,,,
13835,CONTROLE PARA VIDEO GAME KP-GM034,,,
16996,CONTROLE REMOTO AIR MOUSE LE-7716,,,
18643,CONTROLE REMOTO LE-7737,,,
18659,CONTROLE REMOTO UNIVERSAL LE-7384,,,
18653,CONTROLE REMOTO UNIVERSAL LE-7459,,,
14601,CONTROLE REMOTO UNIVERSAL LE-7490-2,,,
18647,CONTROLE REMOTO UNIVERSAL P/LG LE-7386,,,
18648,CONTROLE REMOTO UNIVERSAL PHILCO LE-7391,,,
18652,CONTROLE REMOTO UNIVERSAL ROKU LE-7394,,,
18646,CONTROLE UNIVERSAL TV SAMSUNG LE-7385,,,
8153,CONVERSOR AUDIO DIGITAL ANALOGIC KP3463,,,
14338,CONVERSOR DE FIBRA OPTICA KP-AD146,,,
15118,CONVERSOR DE FIBRA OPTICA KP-AD147,,,
17152,CONVERSOR GRAVADOR DIGITAL MCD-888,,,
17946,COOLER BASE NOTEBOOK GAMER DELTA-B1142G,,,
17041,COOLER DUEX 115X DX C1,,,
12064,COOLER FAN GABINETE E CPU KP-VR332  KNUP,,,
13986,COOLER G-VR300 KNUP,,,
16123,COOLER G-VR303 REVENGER UNIVERSAL,,,
15507,COOLER G-VR348 KNUP UNIVERSAL,,,
15725,COOLER G-VR349 KNUP UNIVERSAL,,,
12133,COOLER GABINETE E CPU C/ ED RGB KP-VR329,,,
16035,COOLER PARA PROCESSADOR CPU RGB G-VR120,,,
18299,COOLER PARA PROCESSADOR G-VR353,,,
18226,COOLER RGB 120MM  DELTA-C1261B,,,
18225,COOLER RGB 120MM  DELTA-C1261P,,,
17410,COOLER UNIVERSAL CL1480W 65W INTEL,,,
14080,COPO C/ TAMPA AWP2654PK PHILIPS,,,
12687,COPO DE AGUA ESPORTIVA 450ML AK-2016,,,
13984,COPO MIXER PARA SUCO MAZ-009 TOMATE,,,
12678,COPO PLASTICO ESPORTIVA 400ML AK-2013,,,
11733,COPO TERMICO PARA LONG NECK / LATA  1? L,,,
18449,"CORRENTE PARA MOTOSERRA 4"" BOM-5620",,,
9257,CTO DUPLA TRAVA 16 ASSINANTES,,,
18261,"CX CABO DE ALARME 2PX0,5 100M BR",,,
17954,DELTA-M3220A PRO MONITOR GAMER 32P,,,
17953,DELTA-M3240A PRO MONITOR GAMER 32P,,,
17952,DELTA-M3820AUC PRO MONITOR GAMER 38P,,,
14414,DIFUSOR DE AROMAS  KP-UM607,,,
13252,DRIVE LEITOR/GRAVADOR DVD KP-LE301,,,
18709,DUCHA FLEXIVEL 1.2M BOM-2172,,,
18287,E-ABRACADEIRA NYLON ENFORCAGATO BOM-5510,,,
17051,E-FITA AMARELA 300M BOM-1339,,,
18974,E-FONTE DE ALIMENTACAO 12V BOM-5590,,,
19009,E-PLACA MAE DESK 1151 DDR4 G-B250 KNUP,,,
17841,E-SOPRADOR DE AR A GASOLINA BOM-9206,,,
1217,EMENDA DE PLASTICO PARA RJ45 DEX COM 10,,,
13749,EMENDA DE PLASTICO PARA RJ45 DEX UNITARI,,,
17401,ESCADA ALUMINIO EXTENSIVA BOM-2801,,,
17402,ESCADA ALUMINIO EXTENSIVA BOM-2802,,,
17403,ESCADA TELESCOPICA TIPO A 2.6M BOM-2803,,,
18768,ESCORREDOR DE LOUCAS ON-SM009,,,
17190,ESCOVA DE SILICONE C/SUPORTE BOM-2504,,,
15546,ESCOVA SANITARIA INOX BOM-2503,,,
15792,ESGUICHO PARA MANGUEIRA PISTOLA BOM-7607,,,
17590,ESMERILHADEIRA ANGULAR 850W BOM-9551,,,
17712,ESMERILHADEIRA ANGULAR 850W BOM-9552,,,
14512,ESTABILIZAD. POWEREST 500VA MO 115V 9114,,,
12517,ESTABILIZADOR  ES-1050VA BIVOLT AUTOMATI,,,
